Pedestrians,weather_summary,temperature,precipitation,events,hour_begin,has_event
10,cloudy,42.0,5.0E-4,"",2019-12-31T22:00:00.000-05:00,0
2,cloudy,42.0,4.0E-4,"",2019-12-31T23:00:00.000-05:00,0
12,cloudy,42.0,0.0036,"",2019-12-31T21:00:00.000-05:00,0
1,clear-night,36.0,0.0,"",2019-04-01T03:00:00.000-04:00,0
3171,clear-day,44.0,0.0,Christmas Day,2019-12-25T14:00:00.000-05:00,1
13,partly-cloudy-night,41.0,0.0,"",2019-01-27T21:00:00.000-05:00,0
0,cloudy,39.0,0.0,"",2019-02-07T04:00:00.000-05:00,0
9,partly-cloudy-night,36.0,0.0,"",2019-01-03T21:00:00.000-05:00,0
520,partly-cloudy-day,76.0,0.0087,"",2019-08-13T09:00:00.000-04:00,0
2,clear-night,73.0,0.0,"",2019-08-31T02:00:00.000-04:00,0
125,clear-night,35.0,0.0,"",2019-11-04T06:00:00.000-05:00,0
2627,partly-cloudy-day,73.0,0.0,"",2019-08-24T19:00:00.000-04:00,0
1601,partly-cloudy-day,48.0,0.0,"",2019-04-02T15:00:00.000-04:00,0
22,cloudy,32.0,0.0037,"",2019-12-02T21:00:00.000-05:00,0
36,cloudy,57.0,0.0,"",2019-05-06T21:00:00.000-04:00,0
2708,clear-day,41.0,0.0,"",2019-12-22T15:00:00.000-05:00,0
2270,partly-cloudy-day,81.0,0.0,"",2019-08-15T13:00:00.000-04:00,0
3,partly-cloudy-night,42.0,0.0,"",2019-02-25T02:00:00.000-05:00,0
1151,clear-day,44.0,0.0,"",2019-03-11T09:00:00.000-04:00,0
1557,partly-cloudy-day,87.0,0.0,"",2019-08-18T13:00:00.000-04:00,0
79,partly-cloudy-night,67.0,0.0,"",2019-08-25T22:00:00.000-04:00,0
0,cloudy,35.0,0.0017,"",2019-02-13T04:00:00.000-05:00,0
1805,cloudy,52.0,0.0,"",2019-04-28T14:00:00.000-04:00,0
442,clear-day,45.0,0.0,"",2019-11-01T08:00:00.000-04:00,0
2826,cloudy,60.0,0.0,"",2019-04-20T14:00:00.000-04:00,0
1554,partly-cloudy-day,83.0,0.0,"",2019-09-11T13:00:00.000-04:00,0
610,partly-cloudy-day,65.0,0.0037,"",2019-06-11T09:00:00.000-04:00,0
1773,partly-cloudy-day,83.0,0.0,"",2019-06-24T12:00:00.000-04:00,0
0,clear-night,25.0,0.0,"",2019-03-08T02:00:00.000-05:00,0
0,partly-cloudy-night,33.0,0.0,"",2019-12-26T01:00:00.000-05:00,0
1532,partly-cloudy-day,37.0,0.0,"",2019-03-04T13:00:00.000-05:00,0
4,partly-cloudy-night,73.0,0.0,"",2019-06-25T01:00:00.000-04:00,0
0,cloudy,61.0,0.0,"",2019-04-13T04:00:00.000-04:00,0
1120,partly-cloudy-day,44.0,0.0,"",2019-02-03T17:00:00.000-05:00,0
0,clear-night,37.0,0.0,"",2019-11-04T04:00:00.000-05:00,0
8,clear-night,76.0,0.0,"",2019-07-10T00:00:00.000-04:00,0
1080,partly-cloudy-day,46.0,0.0,"",2019-11-20T13:00:00.000-05:00,0
186,cloudy,73.0,0.0,"",2019-07-05T07:00:00.000-04:00,0
0,clear-night,62.0,0.0,"",2019-06-15T02:00:00.000-04:00,0
199,clear-night,34.0,0.0,"",2019-03-20T07:00:00.000-04:00,0
23,partly-cloudy-night,73.0,0.0,"",2019-08-14T22:00:00.000-04:00,0
741,clear-day,40.0,0.0,"",2019-02-25T17:00:00.000-05:00,0
1394,clear-day,45.0,0.0,"",2019-03-13T14:00:00.000-04:00,0
58,partly-cloudy-night,47.0,0.0,"",2019-03-29T06:00:00.000-04:00,0
41,partly-cloudy-night,63.0,0.0,"",2019-10-12T20:00:00.000-04:00,0
27,partly-cloudy-night,74.0,0.0,"",2019-08-16T21:00:00.000-04:00,0
482,clear-day,61.0,0.0,"",2019-06-14T08:00:00.000-04:00,0
21,clear-night,33.0,0.0,"",2019-02-28T19:00:00.000-05:00,0
1275,clear-day,51.0,0.0,"",2019-11-06T10:00:00.000-05:00,0
2023,partly-cloudy-day,83.0,0.0,"",2019-08-12T13:00:00.000-04:00,0
0,partly-cloudy-night,70.0,0.0,"",2019-09-24T03:00:00.000-04:00,0
0,clear-night,30.0,0.0,"",2019-01-27T05:00:00.000-05:00,0
3,clear-night,29.0,0.0,"",2019-12-08T01:00:00.000-05:00,0
1473,clear-day,76.0,0.0,"",2019-06-11T19:00:00.000-04:00,0
0,partly-cloudy-night,73.0,0.0,"",2019-08-02T04:00:00.000-04:00,0
20,partly-cloudy-night,68.0,0.0,"",2019-09-24T21:00:00.000-04:00,0
1773,partly-cloudy-day,86.0,0.0,"",2019-08-20T17:00:00.000-04:00,0
38,partly-cloudy-night,51.0,0.0,"",2019-10-18T19:00:00.000-04:00,0
126,partly-cloudy-night,64.0,0.0,"",2019-04-19T20:00:00.000-04:00,0
1757,cloudy,75.0,0.008,"",2019-06-20T14:00:00.000-04:00,0
56,cloudy,72.0,0.0,"",2019-09-14T23:00:00.000-04:00,0
160,fog,29.0,0.0246,"",2019-02-12T16:00:00.000-05:00,0
1329,partly-cloudy-day,84.0,0.0,"",2019-09-04T14:00:00.000-04:00,0
1,partly-cloudy-night,37.0,0.0,"",2019-03-03T05:00:00.000-05:00,0
13,cloudy,61.0,0.0,Halloween,2019-10-31T00:00:00.000-04:00,1
12,rain,34.0,0.0048,"",2019-12-16T21:00:00.000-05:00,0
4,clear-night,26.0,0.0,"",2019-01-16T05:00:00.000-05:00,0
2,clear-night,72.0,0.0,"",2019-08-01T00:00:00.000-04:00,0
